name	x-coord	y-coord	conc.	dry_dep.	wet_dep.	tot.dep.	conc.	conc.
190	22007	825387	0.1517E-01	0.1616E+00	0.2719E+00	0.4335E+00	0.4267E-02	0.8533E-03
190	22007	820387	0.1547E-01	0.1645E+00	0.2754E+00	0.4398E+00	0.4325E-02	0.8651E-03
190	22007	815387	0.1579E-01	0.1679E+00	0.2789E+00	0.4469E+00	0.4405E-02	0.8810E-03
190	22007	810387	0.1597E-01	0.1703E+00	0.2803E+00	0.4506E+00	0.4463E-02	0.8925E-03
190	22007	805387	0.1622E-01	0.1729E+00	0.2834E+00	0.4564E+00	0.4522E-02	0.9043E-03
190	22007	800387	0.1655E-01	0.1765E+00	0.2869E+00	0.4634E+00	0.4600E-02	0.9200E-03
190	22007	795387	0.1683E-01	0.1801E+00	0.2904E+00	0.4705E+00	0.4688E-02	0.9376E-03
190	22007	790387	0.1726E-01	0.1837E+00	0.2998E+00	0.4835E+00	0.4776E-02	0.9552E-03
190	22007	785387	0.1753E-01	0.1872E+00	0.3021E+00	0.4893E+00	0.4851E-02	0.9703E-03
190	22007	780387	0.1782E-01	0.1911E+00	0.3041E+00	0.4952E+00	0.4935E-02	0.9870E-03
190	22007	775387	0.1817E-01	0.1955E+00	0.3074E+00	0.5029E+00	0.5033E-02	0.1007E-02
190	22007	770387	0.1846E-01	0.1997E+00	0.3101E+00	0.5098E+00	0.5125E-02	0.1025E-02
190	22007	765387	0.1880E-01	0.2043E+00	0.3137E+00	0.5180E+00	0.5234E-02	0.1047E-02
190	22007	760387	0.1913E-01	0.2083E+00	0.3176E+00	0.5259E+00	0.5312E-02	0.1062E-02
190	21473	755873	0.1946E-01	0.2140E+00	0.3183E+00	0.5323E+00	0.5448E-02	0.1090E-02
190	20530	752740	0.1963E-01	0.2164E+00	0.3193E+00	0.5357E+00	0.5504E-02	0.1101E-02
191	19809	700455	0.2408E-01	0.2771E+00	0.3563E+00	0.6334E+00	0.6960E-02	0.1392E-02
191	19696	695445	0.2467E-01	0.2855E+00	0.3611E+00	0.6466E+00	0.7151E-02	0.1430E-02
191	19583	690434	0.2521E-01	0.2936E+00	0.3659E+00	0.6596E+00	0.7351E-02	0.1470E-02
191	19470	685422	0.2572E-01	0.3014E+00	0.3692E+00	0.6706E+00	0.7540E-02	0.1508E-02
191	19357	680408	0.2638E-01	0.3114E+00	0.3748E+00	0.6862E+00	0.7778E-02	0.1556E-02
191	19271	675398	0.2695E-01	0.3205E+00	0.3796E+00	0.7000E+00	0.7985E-02	0.1597E-02
191	19186	670392	0.2777E-01	0.2932E+00	0.3854E+00	0.6786E+00	0.8235E-02	0.1647E-02
162	23263	414250	0.1785E+00	0.1329E+01	0.9784E+00	0.2307E+01	0.2239E-01	0.1200E-01
162	22028	410359	0.1720E+00	0.1307E+01	0.7732E+00	0.2080E+01	0.2344E-01	0.1292E-01
162	22007	405387	0.1739E+00	0.1317E+01	0.8058E+00	0.2123E+01	0.2482E-01	0.1430E-01
105	24197	399263	0.1812E+00	0.2646E+01	0.8143E+00	0.3461E+01	0.2557E-01	0.1633E-01
162	21932	400503	0.1722E+00	0.1306E+01	0.8138E+00	0.2120E+01	0.2534E-01	0.1522E-01
159	19436	394843	0.1725E+00	0.1701E+01	0.8174E+00	0.2519E+01	0.2594E-01	0.1715E-01
162	20554	397117	0.1694E+00	0.1387E+01	0.8307E+00	0.2217E+01	0.2579E-01	0.1575E-01
169	20291	393622	0.1740E+00	0.1950E+01	0.8363E+00	0.2786E+01	0.2592E-01	0.1628E-01
169	21713	390085	0.1738E+00	0.1312E+01	0.9001E+00	0.2212E+01	0.2675E-01	0.1718E-01
169	22007	385387	0.1793E+00	0.1350E+01	0.9972E+00	0.2347E+01	0.2782E-01	0.1812E-01
169	21503	381457	0.1812E+00	0.1367E+01	0.1156E+01	0.2523E+01	0.2870E-01	0.1900E-01
66	23239	372035	0.1898E+00	0.3076E+01	0.1141E+01	0.4217E+01	0.3095E-01	0.2345E-01
190	27713	840657	0.1457E-01	0.1561E+00	0.2626E+00	0.4187E+00	0.4266E-02	0.8533E-03
