name         x-coord y-coord       conc.    dry dep.    wet dep.    tot.dep.       conc.       conc.
                                     NOx         NOy         NOy         NOy    NO3+HNO3         NO3
                   m       m  ug/m3 NO2    mol/ha/y    mol/ha/y    mol/ha/y        ug/m3       ug/m3
191            13347  665387  0.1440E-04  0.1374E-03  0.1400E-03  0.2774E-03  0.3998E-05  0.7996E-06
191            13347  660387  0.1496E-04  0.1426E-03  0.1413E-03  0.2839E-03  0.4138E-05  0.8276E-06
191            13357  655652  0.1550E-04  0.1480E-03  0.1425E-03  0.2905E-03  0.4293E-05  0.8585E-06
162            14230  404300  0.4878E-04  0.4774E-03  0.1937E-03  0.6711E-03  0.1300E-04  0.7176E-05
162            13347  400387  0.4780E-04  0.4671E-03  0.1931E-03  0.6602E-03  0.1286E-04  0.7311E-05
159            13114  394093  0.4693E-04  0.4560E-03  0.1944E-03  0.6504E-03  0.1286E-04  0.7724E-05
162            13505  396267  0.4741E-04  0.4616E-03  0.1943E-03  0.6559E-03  0.1290E-04  0.7604E-05
159            13347  390387  0.4664E-04  0.4512E-03  0.1953E-03  0.6465E-03  0.1289E-04  0.7972E-05
159            13347  385387  0.4614E-04  0.4436E-03  0.1971E-03  0.6407E-03  0.1292E-04  0.8269E-05
159            13650  381070  0.4570E-04  0.4350E-03  0.1977E-03  0.6327E-03  0.1291E-04  0.8545E-05
169            15206  379836  0.4637E-04  0.4379E-03  0.1999E-03  0.6377E-03  0.1311E-04  0.8837E-05
188            14704  378110  0.4586E-04  0.4454E-03  0.1995E-03  0.6449E-03  0.1302E-04  0.8949E-05
169            14115  377876  0.4660E-04  0.6287E-03  0.1981E-03  0.8269E-03  0.1297E-04  0.9000E-05
187            14841  375339  0.4766E-04  0.8123E-03  0.1998E-03  0.1012E-02  0.1340E-04  0.9430E-05
188            14673  377099  0.4678E-04  0.6314E-03  0.1990E-03  0.8304E-03  0.1303E-04  0.9046E-05
190            19588  832293  0.6294E-05  0.6986E-04  0.1126E-03  0.1824E-03  0.1977E-05  0.3954E-06
190            18902  827592  0.6394E-05  0.7096E-04  0.1131E-03  0.1840E-03  0.2004E-05  0.4008E-06
190            18231  822719  0.6486E-05  0.7202E-04  0.1134E-03  0.1854E-03  0.2030E-05  0.4060E-06
190            17726  817881  0.6604E-05  0.7329E-04  0.1141E-03  0.1874E-03  0.2062E-05  0.4123E-06
190            17677  812887  0.6742E-05  0.7470E-04  0.1151E-03  0.1898E-03  0.2094E-05  0.4188E-06
190            17677  807887  0.6865E-05  0.7596E-04  0.1157E-03  0.1917E-03  0.2127E-05  0.4254E-06
190            17677  802887  0.7006E-05  0.7739E-04  0.1166E-03  0.1940E-03  0.2166E-05  0.4332E-06
190            17677  797887  0.7166E-05  0.7742E-04  0.1185E-03  0.1959E-03  0.2198E-05  0.4396E-06
190            17677  792887  0.7319E-05  0.7890E-04  0.1194E-03  0.1983E-03  0.2237E-05  0.4474E-06
190            17677  787887  0.7478E-05  0.8043E-04  0.1203E-03  0.2007E-03  0.2277E-05  0.4554E-06
190            17677  782887  0.7625E-05  0.8190E-04  0.1208E-03  0.2027E-03  0.2313E-05  0.4627E-06
190            17677  777887  0.7805E-05  0.8367E-04  0.1219E-03  0.2055E-03  0.2356E-05  0.4713E-06
190            17677  772887  0.7963E-05  0.8525E-04  0.1224E-03  0.2077E-03  0.2395E-05  0.4790E-06
190            17677  767887  0.8156E-05  0.8719E-04  0.1234E-03  0.2106E-03  0.2441E-05  0.4882E-06
